REC_ID,FILETERM,FTERMA,FILEDATE,COURSE,CRSLEVEL,CDEPT,CNUM,CTITLE,MINCREDS,MaxCredits,Grade,UGGR,FT_PT,REGCREDS,ADMSTAT,SPECSRV1,SPECSRV2,CATEGORY,ACADEMICPROGRAM,ACADEMICPROGRAMDESCRIPTION,STARTTRM,SEX,AGE,ALIEN,NEWETH,COMBETH,CLASS,CUMATT,CUMCRED,CUMGPA,CUMPTS,HSNAME,SATVERB,SATMATH,SATWRITE,ACT,Wordcount,ZYBooks_Timeliness,ZYBooks_Curiosity,Weighted_Midterm_Total,Weighted_Final_Total,Word_Count
3878,201702,201702,2/1/2017,EGTG_2228,2,EGTG,2228,Strength of Materials,3, ,B-,UG,F,12,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,25, ,3,3,SO,59,59,3.107,183.33,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201702,201702,2/1/2017,EGTG_4221,4,EGTG,4221,Eng Statistics and Reliability,3, ,C+,UG,F,12,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,25, ,3,3,SO,59,59,3.107,183.33,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
5213,201509,201509,9/1/2015,EGTC_1223,1,EGTC,1223,Introduction to CAD,2, ,A,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201509,201509,9/1/2015,EGTG_2215,2,EGTG,2215,Circuits I,3, ,B-,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201509,201509,9/1/2015,ENGR_1301,1,ENGR,1301,"Engr Pract, Graphics and Des",3, ,C-,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201509,201509,9/1/2015,MATH_1107,1,MATH,1107,Precalculus,4, ,B+,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201509,201509,9/1/2015,PHYS_2101,2,PHYS,2101,General Physics I,3, ,C-,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201509,201509,9/1/2015,PHYS_2201,2,PHYS,2201,LAB: Physics I,1, ,A,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201509,201509,9/1/2015,SOS_1213,1,SOS,1213,SOS Exams,0, , ,UG,F,16,TRMAT, , ,3,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,0,14,0,0,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,CORE_2003,2,CORE,2003,Cross-Cultural Perspectives,3, ,A-,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,EGTE_2216,2,EGTE,2216,Circuits II,3, ,C,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,EGTM_2230,2,EGTM,2230,Manufacturing Processes,3, ,C+,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,MATH_1201,1,MATH,1201,Calculus I,4, ,D,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,PHYS_2102,2,PHYS,2102,General Physics II,3, ,B+,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,PHYS_2202,2,PHYS,2202,LAB: Physics II,1, ,A-,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201602,201602,2/1/2016,SOS_1213,1,SOS,1213,SOS Exams,0, , ,UG,F,17,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,23,PR,4,4,FR,16,30,2.709,43.35,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201609,201609,9/1/2016,EGTG_2210,2,EGTG,2210,Technical Communications,3, ,A-,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,33,47,2.576,85.01,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
