,Course Title,Correlation,p_value,N_students
0,Introduction to CAD,0.46631369539174966,0.14824420511810593,11
0,Academic Research and Writing,0.4641738850197457,0.060522077261643194,17
0,LAB: Physics I,0.42179193580586466,0.1036738017529353,16
0,Circuits I,0.49847840261477055,0.09904422750463747,12
0,Statics,0.5359912127700348,0.059014866179609084,13
0,LAB: Physics II,0.001216330244355605,0.9971681333147611,11
0,Mod Tech:Prin/Appl/Impacts,0.3236268482597318,0.14177423017546636,22
